"log_id","player_id","ptime","imm","enem","deaths","heads","tanks","k_sniper","shots","hits","taken","inflict","grenades","status","dph","kpm","tpm","ipm","dratio","spm","hpm","hratio","gph","phead","ptank","psniper"
1,2,2067.5,8,34,9,3,0,0,629,292,386,1469,2,"complete",15.7,1,11.2,42.6,3.8,18.3,8.5,0.46,3.48,0.09,0,0
2,3,1336.9,5,35,2,1,0,6,545,265,390,1509,2,"complete",5.4,1.6,17.5,67.7,3.9,24.5,11.9,0.49,5.39,0.03,0,0.17
3,4,811.3,8,36,0,5,0,7,514,257,126,1601,9,"complete",0,2.7,9.3,118.4,12.7,38,19,0.5,39.94,0.14,0,0.19
4,5,815.5,6,33,0,4,3,1,363,231,208,1503,1,"complete",0,2.4,15.3,110.6,7.2,26.7,17,0.64,4.41,0.12,0.09,0.03
5,6,931,6,35,1,2,2,0,462,318,545,1574,4,"complete",3.9,2.3,35.1,101.4,2.9,29.8,20.5,0.69,15.47,0.06,0.06,0
6,7,832.4,6,35,3,5,2,3,344,207,189,1534,6,"complete",13,2.5,13.6,110.6,8.1,24.8,14.9,0.6,25.95,0.14,0.06,0.09
7,8,621.3,1,29,2,2,2,2,360,222,148,1555,4,"complete",11.6,2.8,14.3,150.2,10.5,34.8,21.4,0.62,23.18,0.07,0.07,0.07
8,9,1215.6,7,35,0,3,4,0,658,291,126,1544,3,"complete",0,1.7,6.2,76.2,12.3,32.5,14.4,0.44,8.88,0.09,0.11,0
9,10,584.9,8,38,1,9,5,5,337,181,146,1650,7,"complete",6.2,3.9,15,169.3,11.3,34.6,18.6,0.54,43.08,0.24,0.13,0.13
10,11,647.1,7,35,0,8,0,0,508,268,289,1698,8,"complete",0,3.2,26.8,157.4,5.9,47.1,24.8,0.53,44.51,0.23,0,0
11,12,1171.7,6,15,6,2,1,0,185,83,204,509,3,"playing",18.4,0.8,10.4,26.1,2.5,9.5,4.3,0.45,9.22,0.13,0.07,0
12,13,1345,7,31,7,3,1,6,480,286,469,1509,5,"complete",18.7,1.4,20.9,67.3,3.2,21.4,12.8,0.6,13.38,0.1,0.03,0.19
14,14,1534.4,10,18,9,3,0,0,199,152,36,707,0,"playing",21.1,0.7,1.4,27.6,19.6,7.8,5.9,0.76,0,0.17,0,0
15,15,600.5,8,39,1,3,0,0,352,233,237,1698,5,"complete",6,3.9,23.7,169.7,7.2,35.2,23.3,0.66,29.98,0.08,0,0
18,16,588.7,8,38,0,6,1,3,316,240,312,1778,5,"complete",0,3.9,31.8,181.2,5.7,32.2,24.5,0.76,30.58,0.16,0.03,0.08
20,17,798.6,8,40,0,9,1,8,329,195,287,1776,5,"complete",0,3,21.6,133.4,6.2,24.7,14.7,0.59,22.54,0.22,0.02,0.2
22,18,862.1,6,30,2,5,1,4,384,207,197,1552,4,"complete",8.4,2.1,13.7,108,7.9,26.7,14.4,0.54,16.7,0.17,0.03,0.13
25,19,832.1,7,38,0,8,2,9,290,200,249,1676,5,"complete",0,2.7,18,120.9,6.7,20.9,14.4,0.69,21.63,0.21,0.05,0.24
27,20,461.7,6,39,0,5,3,9,186,143,288,1711,8,"complete",0,5.1,37.4,222.4,5.9,24.2,18.6,0.77,62.38,0.13,0.08,0.23
30,21,589.7,2,33,1,7,2,3,353,227,232,1452,5,"complete",6.1,3.4,23.6,147.7,6.3,35.9,23.1,0.64,30.52,0.21,0.06,0.09
32,22,1014.2,1,31,5,3,2,0,399,265,366,1491,6,"complete",17.7,1.8,21.7,88.2,4.1,23.6,15.7,0.66,21.3,0.1,0.06,0
35,5,785.3,4,34,1,7,4,2,411,234,86,1543,2,"complete",4.6,2.6,6.6,117.9,17.9,31.4,17.9,0.57,9.17,0.21,0.12,0.06
37,2,2061.8,5,30,18,4,0,0,590,273,428,1334,2,"playing",31.4,0.9,12.5,38.8,3.1,17.2,7.9,0.46,3.49,0.13,0,0
38,23,1593.2,4,22,7,2,0,0,401,203,225,809,2,"playing",15.8,0.8,8.5,30.5,3.6,15.1,7.6,0.51,4.52,0.09,0,0
39,24,862.6,6,37,0,3,1,1,519,249,135,1693,10,"complete",0,2.6,9.4,117.8,12.5,36.1,17.3,0.48,41.73,0.08,0.03,0.03
41,4,807.3,8,35,1,4,2,6,486,295,252,1716,6,"complete",4.5,2.6,18.7,127.5,6.8,36.1,21.9,0.61,26.76,0.11,0.06,0.17
44,25,1386.2,8,24,1,7,0,0,342,194,198,890,0,"playing",2.6,1,8.6,38.5,4.5,14.8,8.4,0.57,0,0.29,0,0
45,26,1136.6,10,30,5,2,0,0,618,317,204,1478,4,"complete",15.8,1.6,10.8,78,7.2,32.6,16.7,0.51,12.67,0.07,0,0
47,27,580.6,6,35,1,6,1,3,336,219,196,1736,8,"complete",6.2,3.6,20.3,179.4,8.9,34.7,22.6,0.65,49.6,0.17,0.03,0.09
49,28,1313.4,5,26,4,6,2,3,207,128,269,1162,1,"complete",11,1.2,12.3,53.1,4.3,9.5,5.8,0.62,2.74,0.23,0.08,0.12
50,29,2442.3,10,21,10,3,0,0,603,215,467,753,7,"playing",14.7,0.5,11.5,18.5,1.6,14.8,5.3,0.36,10.32,0.14,0,0
51,30,2244.4,8,32,8,5,2,3,789,256,145,1402,4,"complete",12.8,0.9,3.9,37.5,9.7,21.1,6.8,0.32,6.42,0.16,0.06,0.09
53,31,2062.5,5,29,7,5,3,2,389,225,373,1298,2,"complete",12.2,0.8,10.9,37.8,3.5,11.3,6.5,0.58,3.49,0.17,0.1,0.07
54,32,623.1,5,34,0,7,3,6,402,209,287,1653,7,"complete",0,3.3,27.6,159.2,5.8,38.7,20.1,0.52,40.44,0.21,0.09,0.18
